	V1	V2
325	4142753	2099607
326	1709738	5974433
327	1709738	349130
328	11867828	2099607
329	7313100	2099607
330	1324765	2097240
331	1324765	1906450
332	2135819	2099607
333	6346529	2099607
334	6346529	MOOYUU
335	8058705	2099607
336	10032996	2097240
337	10032996	10062180
338	9893826	5298937
339	1578967	2097240
340	1578967	712995
341	1578967	3976345
342	1578967	6659511
343	8558584	8563649
344	7575552	2099607
345	11802639	2097240
346	11802639	4685471
347	8976407	349130
348	8976407	9794742
349	8575076	2097240
350	9468014	2099607
351	4061327	2099607
352	3291312	2230844
353	9328846	2099607
354	1243445	349130
355	7387488	2097240
356	9468262	8357000
357	5634425	5025377
358	6257020	562769
359	11762082	5668710
360	10533365	2099607
361	7846405	2099607
362	5585432	2099607
363	9312824	712995
364	9312824	3524844
365	9312824	8468326
366	7748163	2097240
367	3578476	2099607
368	3578476	5668710
369	7043716	2099607
370	3979919	5974433
371	6109845	2099607
372	4512432	2097240
373	10730211	2097240
374	4938505	5974433
375	3087119	349130
376	3087119	3994824
377	4324126	4466962
378	4324126	2099607
379	5454643	2099607
380	7781194	2099607
381	6691834	5763590
382	11164691	2444909
383	11164691	423926
384	8100895	2099607
385	8100895	9393102
386	8100895	7984359
387	8100895	10262316
388	9133109	4685471
389	11107475	6187009
390	2415802	user11563547
391	2415802	2099607
392	163024	2099607
393	5020881	2099607
394	1031417	2099607
395	1031417	1626564
396	2612484	2097240
397	2612484	6903745
398	10542348	2099607
399	3775778	712995
400	3661120	712995
401	8248670	2097240
402	8248670	7957846
403	3276237	2099607
404	7945697	5495304
405	7945697	3301202
406	2489835	2099607
407	11189857	7896849
408	3645038	2099607
409	9207437	2097240
410	1883795	423926
411	9633432	9461915
412	9633432	1626564
413	4292310	2097240
414	4292310	11152011
415	4292310	423926
416	7896849	5495381
417	9813788	2099607
418	4808493	349130
419	9412416	8563649
420	9412416	8490683
421	8560558	2097240
422	2850762	349130
423	2179021	2097240
424	2179021	4727666
425	2179021	5637569
426	2179021	10602920
427	2179021	2230844
428	2179021	7008416
429	10280951	349130
430	10280951	1138455
