from	to	weight	type
9654709	7212365	1	askerAnswerer
3183808	10190971	1	askerAnswerer
3183808	3183808	1	askerAnswerer
5640161	12102280	1	askerAnswerer
5640161	11897007	1	askerAnswerer
5640161	5597718	1	askerAnswerer
12018753	7121231	1	askerAnswerer
2856460	5652313	1	askerAnswerer
5510818	1190882	1	askerAnswerer
5510818	5510818	1	askerAnswerer
11975431	3069214	1	askerAnswerer
11975431	11975431	1	askerAnswerer
7748163	2097240	1	askerAnswerer
3633250	3336192	1	askerAnswerer
6638840	6638840	1	askerAnswerer
6638840	4303084	1	askerAnswerer
6638840	9866433	1	askerAnswerer
7250730	6187682	1	askerAnswerer
7250730	user3717211	1	askerAnswerer
10879227	2099607	1	askerAnswerer
11773701	1626564	1	askerAnswerer
11235680	8796240	1	askerAnswerer
11235680	11749543	1	askerAnswerer
11728795	5597718	1	askerAnswerer
4985990	349130	1	askerAnswerer
11683437	5668710	1	askerAnswerer
11656005	5752859	1	askerAnswerer
11377224	1140684	1	askerAnswerer
9518837	9518837	1	askerAnswerer
5265527	5265527	1	askerAnswerer
6204860	6204860	1	askerAnswerer
4363423	235548	1	askerAnswerer
11486833	349130	1	askerAnswerer
11277952	2099607	1	askerAnswerer
7387488	2097240	1	askerAnswerer
7250730	4895701	1	askerAnswerer
7250730	5801539	1	askerAnswerer
7250730	189247	1	askerAnswerer
4292310	11152011	1	askerAnswerer
4292310	2097240	1	askerAnswerer
4292310	423926	1	askerAnswerer
9732470	9234724	1	askerAnswerer
10555987	8036123	1	askerAnswerer
11131459	1841450	1	askerAnswerer
1150683	10886420	1	askerAnswerer
11098153	1602613	1	askerAnswerer
11098153	10513982	1	askerAnswerer
7241796	8112138	1	askerAnswerer
2607447	5452132	1	askerAnswerer
10757549	2099607	1	askerAnswerer
7326400	2099607	1	askerAnswerer
9660268	5121457	1	askerAnswerer
8778369	57191	1	askerAnswerer
2596672	3963013	1	askerAnswerer
2596672	2596672	1	askerAnswerer
10494287	1372667	1	askerAnswerer
10171009	2084944	1	askerAnswerer
4547005	6145828	1	askerAnswerer
4547005	5055862	1	askerAnswerer
4547005	4547005	1	askerAnswerer
4547005	5707705	1	askerAnswerer
4547005	2099607	1	askerAnswerer
1115237	2099607	1	askerAnswerer
8100895	10262316	1	askerAnswerer
8100895	2099607	1	askerAnswerer
4117624	3098092	1	askerAnswerer
8830456	4867531	1	askerAnswerer
1553662	2099607	1	askerAnswerer
9900116	9758922	1	askerAnswerer
3977276	5974433	1	askerAnswerer
8332212	9758922	1	askerAnswerer
9675256	1626564	1	askerAnswerer
3775778	712995	1	askerAnswerer
8426349	9590820	1	askerAnswerer
8426349	8913947	1	askerAnswerer
4412324	4412324	1	askerAnswerer
762845	762845	1	askerAnswerer
2311063	8793975	1	askerAnswerer
2612484	2097240	1	askerAnswerer
2612484	6903745	1	askerAnswerer
5905951	6735980	1	askerAnswerer
8371191	9161094	1	askerAnswerer
6855617	2432224	1	askerAnswerer
9207437	2097240	1	askerAnswerer
9074858	9074858	1	askerAnswerer
8850850	8850850	1	askerAnswerer
4419659	2097240	1	askerAnswerer
7153699	8143158	1	askerAnswerer
497600	3038460	1	askerAnswerer
5896419	5896419	1	askerAnswerer
5287146	2217210	1	askerAnswerer
8278437	2097240	1	askerAnswerer
8278437	2384397	1	askerAnswerer
3120842	9084663	1	askerAnswerer
10490334	306739	1	askerAnswerer
user10638958	user9477964	1	askerAnswerer
user10638958	6150310	1	askerAnswerer
user10638958	4311535	1	askerAnswerer
user10638958	5944114	1	askerAnswerer
9412416	8563649	1	askerAnswerer
9412416	8490683	1	askerAnswerer
10704050	8621405	1	askerAnswerer
11050535	5810950	1	askerAnswerer
11050535	7121231	1	askerAnswerer
10704050	2255479	1	askerAnswerer
10704050	10606534	1	askerAnswerer
10267239	5668710	1	askerAnswerer
10267239	7121726	1	askerAnswerer
10267239	10578525	1	askerAnswerer
10267239	1519264	1	askerAnswerer
1830648	349130	1	askerAnswerer
10263591	10263591	1	askerAnswerer
11219622	11219622	1	askerAnswerer
6413914	6413914	1	askerAnswerer
6413914	10052081	1	askerAnswerer
6413914	8279583	1	askerAnswerer
6413914	4210341	1	askerAnswerer
3272409	2099607	1	askerAnswerer
11763609	10701497	1	askerAnswerer
11746615	2154701	1	askerAnswerer
8855704	349130	1	askerAnswerer
9184988	11210924	1	askerAnswerer
9718199	349130	1	askerAnswerer
869606	10111931	1	askerAnswerer
10577043	9477338	1	askerAnswerer
11107475	6187009	1	askerAnswerer
10754618	9060826	1	askerAnswerer
10754618	9952440	1	askerAnswerer
7201349	6779007	1	askerAnswerer
7201349	8563649	1	askerAnswerer
7201349	4137497	1	askerAnswerer
3204706	9028015	1	askerAnswerer
3204706	1179925	1	askerAnswerer
6443723	3888336	1	askerAnswerer
user10822357	5825953	1	askerAnswerer
10082348	6126315	1	askerAnswerer
163024	2099607	1	askerAnswerer
2135819	2099607	1	askerAnswerer
8186702	8186702	1	askerAnswerer
6407393	2099607	1	askerAnswerer
5550639	5550639	1	askerAnswerer
4780863	5825953	1	askerAnswerer
4780863	2097240	1	askerAnswerer
7043716	2099607	1	askerAnswerer
3645038	2099607	1	askerAnswerer
9302655	349130	1	askerAnswerer
7732470	7732470	1	askerAnswerer
1511274	1511274	1	askerAnswerer
1031417	1626564	1	askerAnswerer
1031417	2099607	1	askerAnswerer
1585523	2099607	1	askerAnswerer
10245386	7250730	1	askerAnswerer
8670625	4186749	1	askerAnswerer
4697075	712995	1	askerAnswerer
4697075	5801215	1	askerAnswerer
10087954	8405902	1	askerAnswerer
10087954	10062944	1	askerAnswerer
3808266	8388062	1	askerAnswerer
6666660	4867531	1	askerAnswerer
8599868	2613361	1	askerAnswerer
7245353	8563649	1	askerAnswerer
6691834	5763590	1	askerAnswerer
811344	10006376	1	askerAnswerer
7687401	3098092	1	askerAnswerer
7687401	7687401	1	askerAnswerer
5499527	2281298	1	askerAnswerer
7867665	349130	1	askerAnswerer
7867665	8563649	1	askerAnswerer
5360713	9412325	1	askerAnswerer
5360713	1360267	1	askerAnswerer
4996806	9590820	1	askerAnswerer
9643932	6245501	1	askerAnswerer
1115237	540873	1	askerAnswerer
1115237	907575	1	askerAnswerer
785494	5215538	1	askerAnswerer
7038887	8665686	1	askerAnswerer
7038887	3574081	1	askerAnswerer
3624195	2097240	1	askerAnswerer
3087119	3994824	1	askerAnswerer
958168	636384	1	askerAnswerer
958168	958168	1	askerAnswerer
7126576	5538787	1	askerAnswerer
7126576	7886197	1	askerAnswerer
7126576	7852514	1	askerAnswerer
6498587	4446102	1	askerAnswerer
6498587	5352399	1	askerAnswerer
2461808	7020295	1	askerAnswerer
